kategorie,aktivitaet,geschlecht,durchschnittliche_zeit_h,anteil_ausuebende_prozent,zeit_ausuebende_h,differenz_anteil,differenz_zeit,differenz_rel
Schlafen,Schlafen - Gesamt,Frauen,8.866666666666667,100,8.866666666666667,0,0.09999999999999964,0
Schlafen,Schlafen - Gesamt,Männer,8.766666666666667,100,8.766666666666667,0,0.09999999999999964,0
Schlafen,Schlafen (gesund),Frauen,8.833333333333334,100,8.833333333333334,0,0.10000000000000142,0
Schlafen,Schlafen (gesund),Männer,8.733333333333333,100,8.733333333333333,0,0.10000000000000142,0
Schlafen,Im Bett wegen Krankheit,Frauen,0.016666666666666666,1.4,3.533333333333333,-0.10000000000000009,-0.016666666666666666,-6.896551724137938
Schlafen,Im Bett wegen Krankheit,Männer,0.03333333333333333,1.5,4.266666666666667,-0.10000000000000009,-0.016666666666666666,-6.896551724137938
Essen und andere persönliche Tätigkeiten,Essen und Trinken,Frauen,1.7166666666666668,99.4,1.7833333333333332,0.20000000000000284,0.01666666666666683,0.2014098690835879
Essen und andere persönliche Tätigkeiten,Essen und Trinken,Männer,1.7,99.2,1.7833333333333332,0.20000000000000284,0.01666666666666683,0.2014098690835879
Essen und andere persönliche Tätigkeiten,Waschen und Anziehen,Frauen,0.8666666666666667,94,0.9833333333333333,2.4000000000000057,0.18333333333333335,2.5862068965517304
Essen und andere persönliche Tätigkeiten,Waschen und Anziehen,Männer,0.6833333333333333,91.6,0.8,2.4000000000000057,0.18333333333333335,2.5862068965517304
Essen und andere persönliche Tätigkeiten,Inanspruchnahme persönlicher und medizinischer Versorgung,Frauen,0.1,13.1,1.1333333333333333,3.299999999999999,0.03333333333333334,28.82096069868995
Essen und andere persönliche Tätigkeiten,Inanspruchnahme persönlicher und medizinischer Versorgung,Männer,0.06666666666666667,9.8,1.1666666666666667,3.299999999999999,0.03333333333333334,28.82096069868995
Essen und andere persönliche Tätigkeiten,Andere und nicht näher bestimmte persönliche Versorgung,Frauen,0.05,11.6,0.7666666666666667,1.799999999999999,0,16.822429906542048
Essen und andere persönliche Tätigkeiten,Andere und nicht näher bestimmte persönliche Versorgung,Männer,0.05,9.8,0.9666666666666667,1.799999999999999,0,16.822429906542048
Essen und andere persönliche Tätigkeiten,Andere und nicht näher bestimmte Wege,Frauen,0.08333333333333333,18.7,0.7666666666666667,2.099999999999998,0,11.898016997167128
Essen und andere persönliche Tätigkeiten,Andere und nicht näher bestimmte Wege,Männer,0.08333333333333333,16.6,0.85,2.099999999999998,0,11.898016997167128
Erwerbstätigkeit,Erwerbstätigkeit - Gesamt,Frauen,2.216666666666667,42.2,7.45,-12.799999999999997,-1.3666666666666667,-26.337448559670772
Erwerbstätigkeit,Erwerbstätigkeit - Gesamt,Männer,3.5833333333333335,55,8.85,-12.799999999999997,-1.3666666666666667,-26.337448559670772
Erwerbstätigkeit,Arbeitszeit in der Haupt- und Zweittätigkeit,Frauen,1.9333333333333333,39.5,6.883333333333333,-13.5,-1.2166666666666666,-29.18918918918919
Erwerbstätigkeit,Arbeitszeit in der Haupt- und Zweittätigkeit,Männer,3.15,53,8.1,-13.5,-1.2166666666666666,-29.18918918918919
Erwerbstätigkeit,Mittagspause in der Haupt- und Zweittätigkeit,Frauen,0.05,9.2,0.7333333333333333,-8.8,-0.033333333333333326,-64.70588235294117
Erwerbstätigkeit,Mittagspause in der Haupt- und Zweittätigkeit,Männer,0.08333333333333333,18,0.7333333333333333,-8.8,-0.033333333333333326,-64.70588235294117
Erwerbstätigkeit,Andere und nicht näher bestimmte Tätigkeit in Bezug auf eine Erwerbstätigkeit,Frauen,0.016666666666666666,4.8,0.6666666666666666,-0.40000000000000036,0,-8.000000000000007
Erwerbstätigkeit,Andere und nicht näher bestimmte Tätigkeit in Bezug auf eine Erwerbstätigkeit,Männer,0.016666666666666666,5.2,0.7166666666666667,-0.40000000000000036,0,-8.000000000000007
Erwerbstätigkeit,Wege für Erwerbstätigkeit,Frauen,0.21666666666666667,31.1,1,-9.899999999999999,-0.09999999999999998,-27.461858529819693
Erwerbstätigkeit,Wege für Erwerbstätigkeit,Männer,0.31666666666666665,41,1.1,-9.899999999999999,-0.09999999999999998,-27.461858529819693
Aus- und Weiterbildung,Aus- und Weiterbildung - Gesamt,Frauen,0.6666666666666666,14.8,5.816666666666666,0.40000000000000036,0.016666666666666607,2.7397260273972623
Aus- und Weiterbildung,Aus- und Weiterbildung - Gesamt,Männer,0.65,14.4,5.916666666666667,0.40000000000000036,0.016666666666666607,2.7397260273972623
Aus- und Weiterbildung,"Unterricht, Vorlesungen und Kurse in Schule und Studium",Frauen,0.31666666666666665,7.8,5.9,-0.39999999999999947,-0.016666666666666663,-4.999999999999993
Aus- und Weiterbildung,"Unterricht, Vorlesungen und Kurse in Schule und Studium",Männer,0.3333333333333333,8.2,5.816666666666666,-0.39999999999999947,-0.016666666666666663,-4.999999999999993
Aus- und Weiterbildung,Hausaufgaben und Vorbereitungen für Schule und Studium,Frauen,0.18333333333333332,10.4,2.5,0.40000000000000036,0,3.921568627450984
Aus- und Weiterbildung,Hausaufgaben und Vorbereitungen für Schule und Studium,Männer,0.18333333333333332,10,2.4,0.40000000000000036,0,3.921568627450984
Aus- und Weiterbildung,Unterrichtspausen,Frauen,0.016666666666666666,2.7,0.7333333333333333,-0.6999999999999997,0,-22.95081967213114
Aus- und Weiterbildung,Unterrichtspausen,Männer,0.016666666666666666,3.4,0.8,-0.6999999999999997,0,-22.95081967213114
Aus- und Weiterbildung,Andere und nicht näher bestimmte Tätigkeit in Bezug auf Schule und Studium,Frauen,0,0.9,0.5833333333333334,-0.20000000000000007,0,-20.000000000000007
Aus- und Weiterbildung,Andere und nicht näher bestimmte Tätigkeit in Bezug auf Schule und Studium,Männer,0,1.1,1,-0.20000000000000007,0,-20.000000000000007
Aus- und Weiterbildung,Homeschooling,Frauen,0.016666666666666666,0.9,3.466666666666667,-0.20000000000000007,-0.016666666666666666,-20.000000000000007
Aus- und Weiterbildung,Homeschooling,Männer,0.03333333333333333,1.1,3.8333333333333335,-0.20000000000000007,-0.016666666666666666,-20.000000000000007
Aus- und Weiterbildung,"Weiterbildung außerhalb von Schule, Studium und Erwerbstätigkeit",Frauen,0.03333333333333333,3.1,2,0.7000000000000002,0,25.454545454545464
Aus- und Weiterbildung,"Weiterbildung außerhalb von Schule, Studium und Erwerbstätigkeit",Männer,0.03333333333333333,2.4,2.3666666666666667,0.7000000000000002,0,25.454545454545464
Aus- und Weiterbildung,Wege für Aus- und Weiterbildung,Frauen,0.06666666666666667,8.6,1.1833333333333333,0.5,0,5.9880239520958085
